id,tarih,plaka,marka,model,uretim_tarihi,km,parca_adi,parca_fiyat,iscilik_fiyat
0,2019-01-20,32-UNA-4693,VOLVO,V1,2011,81688,DEBRIYAJ RULMANI,566,829
1,2019-12-22,21-VLG-6409,FIAT,500L,2016,98094,DEBRIYAJ RULMANI,566,559
2,2018-01-30,73-GKM-2517,FIAT,500,2009,52120,BALATA,787,264
3,2019-10-03,57-UMB-9276,FORD,FOCUS,2008,187787,DEBRIYAJ RULMANI,566,628
4,2018-05-20,38-FFQ-1342,FORD,FIESTA,2015,123456,DEBRIYAJ RULMANI,566,786
5,2019-11-05,25-RJY-6325,FIAT,EGEA,2011,177241,DEBRIYAJ RULMANI,566,304
6,2018-07-11,25-HXC-9570,PEUGEOT,407,2016,26823,DIREKSIYON POMPASI,850,976
7,2019-07-09,06-HMX-2280,BMW,X3,2017,157838,DEBRIYAJ RULMANI,566,406
8,2018-11-26,63-MKK-8270,MERCEDES,S350,2008,78217,DEBRIYAJ RULMANI,566,518
9,2019-08-26,24-WRV-2472,FIAT,500L,2016,140879,DIREKSIYON POMPASI,850,278
10,2018-12-18,04-MUD-3942,SAAB,S1,2013,30733,BALATA,787,1513
11,2019-10-13,56-XOG-4555,FORD,FOCUS,2004,135847,DIREKSIYON POMPASI,850,1182
12,2019-07-13,32-TTH-6728,FORD,KA,2017,96973,DIREKSIYON POMPASI,850,1881
13,2018-09-13,44-KKX-4414,TOFAS,SAHIN,2011,162594,DEBRIYAJ RULMANI,566,845
14,2018-08-21,18-QIR-6345,MERCEDES,E200,2017,32118,DIREKSIYON POMPASI,850,697
15,2018-01-17,02-TAB-7458,PEUGEOT,206,2016,62326,DEBRIYAJ RULMANI,566,320
16,2018-10-05,02-DTS-5485,TOFAS,SAHIN,2004,138705,DEBRIYAJ RULMANI,566,534
17,2019-01-02,41-LPB-2326,VOLKSWAGEN,JETTA,2014,96183,DEBRIYAJ RULMANI,566,1399
18,2019-09-18,20-THL-7035,PEUGEOT,306,2002,96120,DIREKSIYON POMPASI,850,553
19,2018-12-30,52-SDF-3005,PEUGEOT,206,2015,177543,DEBRIYAJ RULMANI,566,954
20,2018-11-14,21-PSZ-6647,PEUGEOT,206,2003,199088,BALATA,787,916
21,2018-03-14,36-TBK-9447,MERCEDES,E200,2007,33415,DIREKSIYON POMPASI,850,1578
22,2018-03-04,34-UGF-9345,BMW,X7,2015,106048,DEBRIYAJ RULMANI,566,1328
23,2018-10-12,39-HZO-7066,TESLA,T1,2005,147717,DEBRIYAJ RULMANI,566,1394
