id,tarih,plaka,marka,model,uretim_tarihi,km,parca_adi,parca_fiyat,iscilik_fiyat
0,2018-04-03,11-JZG-8698,AUDI,A6,2015,50943,DIREKSIYON POMPASI,682,382
1,2019-07-06,31-EQZ-1628,VOLKSWAGEN,JETTA,2006,196941,BALATA,468,1593
2,2018-09-29,72-FCP-4596,BMW,X5,2008,12738,BALATA,737,1045
3,2019-06-18,22-VIA-6052,SAAB,S1,2006,75624,BALATA,603,1294
4,2018-03-20,53-PXX-135,VOLKSWAGEN,PASSAT,2009,195232,DEBRIYAJ RULMANI,475,299
5,2018-01-28,09-CLX-1178,PEUGEOT,306,2003,1160,DEBRIYAJ RULMANI,667,441
6,2019-12-05,21-FEA-4249,BMW,X3,2015,44568,DIREKSIYON POMPASI,611,1531
7,2018-04-12,38-WTN-2442,TESLA,T1,2008,174644,BALATA,437,986
8,2019-09-06,24-JKM-5252,TESLA,T4,2005,22894,DIREKSIYON POMPASI,892,780
9,2019-11-21,61-FQF-6952,PEUGEOT,206,2012,175925,DIREKSIYON POMPASI,841,260
10,2019-05-22,04-UQO-5629,FORD,KA,2003,147260,BALATA,743,1515
11,2018-06-24,12-RGZ-4169,SAAB,S4,2004,13621,BALATA,496,682
12,2018-06-18,37-MBA-2194,TOFAS,SAHIN,2015,72298,DIREKSIYON POMPASI,613,1464
13,2019-04-07,17-SLB-4631,MERCEDES,S350,2017,195980,DIREKSIYON POMPASI,602,1795
14,2018-09-25,61-CGC-5461,AUDI,Q3,2006,177066,BALATA,438,1460
15,2018-03-05,18-SYH-5453,PEUGEOT,407,2007,196503,BALATA,567,343
16,2018-09-17,64-OST-3361,PEUGEOT,306,2007,15768,DEBRIYAJ RULMANI,537,1307
17,2019-02-19,26-QZX-616,FIAT,500,2002,1038,BALATA,414,675
18,2018-08-11,69-PTF-3171,VOLVO,V3,2013,191743,BALATA,520,361
19,2018-08-07,65-SMN-6253,FIAT,500,2009,143608,BALATA,620,451
20,2019-01-29,16-QAY-6908,PEUGEOT,407,2010,141802,DIREKSIYON POMPASI,809,1083
21,2019-05-10,25-GPN-3456,SAAB,S2,2012,123327,DEBRIYAJ RULMANI,653,954
22,2019-07-22,06-GWX-6182,VOLVO,V2,2003,154423,BALATA,585,1766
23,2018-04-07,77-ZXM-8790,FIAT,500L,2017,10135,DEBRIYAJ RULMANI,458,1653
24,2019-05-25,39-RAG-8568,TESLA,T4,2007,99796,BALATA,626,1523
25,2018-11-02,25-MRS-2037,TOFAS,SAHIN,2005,151008,DEBRIYAJ RULMANI,417,1668
26,2019-07-18,05-WKA-9744,TOFAS,SAHIN,2005,178470,BALATA,618,931
27,2019-09-15,78-YLU-3836,VOLVO,V2,2003,102433,BALATA,553,1548
28,2019-11-06,01-EXZ-5820,AUDI,Q3,2007,24823,BALATA,572,1055
29,2019-02-08,43-PQY-7170,VOLVO,V4,2012,92849,DIREKSIYON POMPASI,798,268
30,2018-05-26,26-JSU-9223,FIAT,500L,2002,4703,DIREKSIYON POMPASI,760,1048
31,2019-05-29,18-ASD-4457,TESLA,T4,2004,44444,DIREKSIYON POMPASI,819,1167
32,2018-07-02,62-KYT-1074,AUDI,A6,2015,22780,BALATA,476,1509
33,2019-07-04,77-GMU-3150,MERCEDES,C180,2015,57235,DIREKSIYON POMPASI,719,816
34,2019-07-08,46-LUU-2589,TOFAS,SAHIN,2006,68672,DIREKSIYON POMPASI,889,1411
