id,tarih,plaka,marka,model,uretim_tarihi,km,parca_fiyat,iscilik_fiyat
0,2012-03-26,17-VCV-6808,VOLKSWAGEN,JETTA,2005-07-09,192401,9414,961
1,2009-03-16,21-MSM-4660,VOLVO,V2,2006-01-31,61471,8394,379
2,2005-12-12,77-GAX-5751,FIAT,500,2000-08-08,153844,3496,716
3,2015-03-30,26-TQW-6690,MERCEDES,E200,2003-03-19,8611,6756,905
4,2002-10-07,49-EFC-9053,PEUGEOT,206,2000-04-21,126884,9811,1463
5,2006-10-01,03-DWW-9506,AUDI,Q5,2000-05-13,130095,2950,1923
6,2006-08-23,03-QYN-7854,AUDI,Q7,2006-06-28,2751,9753,456
7,2009-02-12,07-RIO-4714,AUDI,Q7,2001-01-10,89114,8609,1852
8,2008-06-27,76-WCV-9948,VOLKSWAGEN,PASSAT,2001-09-20,57034,1264,1949
9,2001-03-30,12-FYS-1398,PEUGEOT,306,2001-02-19,17503,6941,311
10,2000-12-29,38-VLP-7112,FORD,FIESTA,2000-07-18,172776,5306,1922
11,2000-02-06,47-UGX-4302,VOLVO,V3,2000-01-29,113278,4853,461
12,2014-07-01,33-SFV-7253,FORD,FOCUS,2002-06-05,139655,7549,2000
13,2006-08-02,72-VFD-196,FORD,FIESTA,2005-03-09,40870,2376,392
14,2009-01-01,26-ZQU-9475,PEUGEOT,206,2001-01-21,74272,5484,766
15,2011-05-26,53-GVS-3229,FIAT,500L,2007-06-10,92554,3985,470
16,2002-05-13,59-DHT-3292,TOFAS,SAHIN,2001-11-29,15861,4427,804
17,2002-05-16,65-DTE-9957,VOLVO,V3,2000-08-16,40980,5613,459
18,2012-10-16,15-VUQ-6560,TOFAS,DOGAN,2000-02-25,80169,5970,1740
19,2014-04-13,50-WHA-4058,TESLA,T4,2003-05-07,183455,3536,1979
20,2019-12-15,51-GHE-5138,TESLA,T3,2003-06-30,8947,3661,1966
21,2005-09-21,18-BJA-2364,MERCEDES,C180,2003-01-06,153772,5065,371
22,2016-05-22,52-AVL-6048,FORD,FIESTA,2004-07-08,157597,8920,886
23,2003-03-14,51-MPT-1794,TOFAS,SAHIN,2001-08-05,107819,9806,1986
24,2009-04-05,81-JZC-8551,AUDI,Q7,2002-07-25,20499,1364,354
25,2012-01-06,14-YXL-4304,PEUGEOT,407,2007-10-20,16280,7381,376
26,2000-06-24,74-CRG-1752,TESLA,T1,2000-03-03,121070,2893,1534
27,2001-07-19,71-ACM-4098,VOLVO,V1,2000-08-16,83984,8550,928
28,2010-03-12,63-VUS-1679,TOFAS,SAHIN,2007-01-20,79654,4607,371
29,2017-11-24,55-ZWE-2903,BMW,X7,2006-06-12,105802,2729,467
30,2018-05-18,21-QPC-2473,FIAT,DOBLO,2000-07-28,53672,2615,1165
31,2001-09-14,57-RKP-1982,SAAB,S4,2001-02-28,10733,8174,1463
32,2006-03-31,64-TUR-2311,MERCEDES,C180,2001-05-17,115684,3209,913
33,2011-06-20,20-LLF-1240,PEUGEOT,306,2004-01-11,82074,7569,1127
34,2011-01-13,40-UEL-7261,SAAB,S2,2004-07-16,161023,6987,1037
35,2013-07-22,28-MLQ-5362,FORD,FIESTA,2004-03-09,18980,1313,1109
36,2009-07-19,56-ZFH-5357,MERCEDES,S350,2000-07-30,29688,5579,447
37,2014-07-11,04-NZA-5690,TESLA,T4,2010-04-15,42605,6085,1810
38,2015-09-05,39-RKH-8566,TOFAS,KARTAL,2015-07-09,59464,1256,1142
39,2001-04-14,78-OCH-1822,MERCEDES,C180,2000-06-01,139334,5326,1543
40,2019-05-28,77-PPO-4260,PEUGEOT,206,2013-12-27,180372,5397,621
