id,tarih,plaka,marka,model,uretim_tarihi,km,parca_fiyat,iscilik_fiyat
0,2020-01-25,23-HTS-5555,PEUGEOT,306,2004-01-28,142952,8267,1499
1,2019-10-28,16-LNA-7704,BMW,X3,2009-05-24,191815,1996,955
2,2019-10-12,13-KGS-1924,VOLVO,V3,2016-06-14,49520,2030,1429
3,2019-04-12,32-WHV-7511,VOLKSWAGEN,JETTA,2003-02-28,67827,7231,1506
4,2019-02-16,71-PPB-8163,VOLKSWAGEN,PASSAT,2008-04-30,162148,2320,628
5,2019-12-12,24-AYC-8239,FIAT,500L,2009-07-18,42817,4348,578
6,2019-01-29,01-ZVK-5572,VOLKSWAGEN,PASSAT,2008-07-16,65820,6676,1082
7,2019-06-29,20-ZDB-1525,PEUGEOT,206,2016-11-28,100863,5227,409
8,2018-05-13,23-FVX-6491,FIAT,500,2000-06-13,123324,4647,625
9,2019-08-08,29-WPL-3837,BMW,X7,2013-01-28,192213,9427,1832
10,2018-12-11,37-MIF-1501,FIAT,EGEA,2016-03-22,83926,2405,343
11,2018-05-24,74-KPC-7975,TESLA,T3,2000-07-03,46903,4270,1045
12,2018-07-05,36-RRQ-6194,VOLKSWAGEN,POLO,2015-08-04,67431,300,729
13,2019-04-20,04-SPL-7923,VOLKSWAGEN,POLO,2003-07-08,66968,5012,1519
14,2018-08-03,33-ZUX-4671,TESLA,T2,2003-01-05,191725,7422,1810
15,2019-07-08,77-ORV-2905,VOLKSWAGEN,POLO,2000-07-24,48613,5791,751
16,2020-01-01,62-PSS-9723,FIAT,500L,2017-11-26,24813,3455,1960
17,2018-12-11,10-OZA-3643,VOLKSWAGEN,POLO,2007-05-29,62326,8480,1258
18,2018-10-13,41-OEG-6562,TESLA,T1,2012-01-11,191841,5526,1015
19,2018-07-11,43-SOX-4221,VOLVO,V2,2004-09-28,3717,6743,1997
20,2019-12-02,79-QLY-9094,PEUGEOT,206,2015-08-10,21543,1910,1953
21,2018-01-06,39-VNV-2941,MERCEDES,E200,2000-03-04,180917,4159,741
22,2018-05-27,78-VGA-8342,SAAB,S1,2018-01-10,113832,1047,980
23,2019-07-29,73-BCZ-4104,TESLA,T1,2007-11-27,134131,6176,1625
24,2018-10-14,46-WTI-5160,MERCEDES,E200,2008-08-23,25170,131,879
25,2018-05-22,63-BXF-596,FIAT,500L,2018-04-26,121788,875,1227
26,2020-01-12,75-XQO-328,VOLVO,V2,2007-12-03,151739,4063,1265
27,2020-04-05,73-EWI-8661,TOFAS,SAHIN,2013-04-22,140449,7914,1758
28,2018-09-18,27-HVF-3620,AUDI,Q7,2018-02-22,156402,736,906
29,2019-07-20,02-UYN-5861,BMW,X5,2005-08-16,24559,3166,601
