id,tarih,plaka,marka,model,uretim_tarihi,km,parca_fiyat,iscilik_fiyat
0,2003-12-14,75-RQI-7976,BMW,X3,2000-02-22,66846,5668,833
1,2016-05-27,42-RWM-1871,SAAB,S2,2000-11-26,98210,4621,746
2,2016-05-19,21-MPQ-1034,VOLVO,V2,2004-10-25,180673,6165,1681
3,2010-04-29,08-AEF-5076,SAAB,S3,2003-08-01,6437,4700,257
4,2016-09-29,57-XBS-7709,VOLKSWAGEN,JETTA,2011-09-03,102463,9456,487
5,2001-10-08,06-QDH-5418,FORD,FOCUS,2000-02-28,146872,6471,1776
6,2018-10-03,03-XIC-4331,AUDI,Q5,2015-10-21,25698,6602,1639
7,2019-01-04,05-IAY-6687,SAAB,S1,2002-08-20,100722,9764,1764
8,2017-08-23,09-RJD-959,MERCEDES,S350,2015-09-25,67371,510,1000
9,2002-09-14,03-NRG-6196,BMW,X5,2001-05-16,151141,89,1664
10,2019-04-06,06-CBQ-6311,FORD,KA,2015-08-26,29593,2020,1339
11,2014-10-25,47-YNB-4392,AUDI,Q3,2004-08-22,55920,326,1915
12,2001-09-30,03-PJI-4335,TESLA,T3,2000-04-17,11403,3945,462
13,2010-05-15,75-PGR-9002,FORD,FOCUS,2004-02-26,54822,2307,1567
14,2002-09-28,14-CXL-5497,FORD,FOCUS,2002-07-28,102171,6671,1238
15,2007-08-01,74-EIY-6299,AUDI,Q3,2006-03-01,191909,6696,753
16,2017-12-16,62-UKO-6182,PEUGEOT,306,2007-11-01,123145,1845,1873
17,2009-04-30,43-WYM-9982,TESLA,T2,2002-06-12,161509,9257,386
18,2018-10-30,78-HGG-2674,VOLKSWAGEN,PASSAT,2004-12-17,88584,1343,1051
19,2019-11-04,67-QTV-4831,VOLVO,V4,2016-10-13,153450,4737,643
20,2000-10-31,34-FQZ-6456,PEUGEOT,407,2000-07-29,164943,3223,1733
21,2006-12-13,81-VGA-1148,PEUGEOT,407,2003-04-21,87386,2961,1379
22,2007-11-29,49-FTB-6893,VOLVO,V3,2001-09-04,160998,178,1417
23,2003-03-05,68-ZXD-2421,VOLVO,V2,2000-07-26,139874,286,1267
24,2016-11-26,27-YHE-203,FIAT,EGEA,2000-04-10,56326,5312,1633
25,2012-06-17,53-NAK-3173,TOFAS,DOGAN,2002-03-31,156531,670,392
26,2011-12-24,01-AIO-3074,MERCEDES,E200,2004-09-03,85249,1734,410
27,2014-12-31,31-YQD-2536,TESLA,T3,2009-09-24,106220,4771,257
28,2012-01-05,64-QDI-5084,MERCEDES,S600,2001-08-07,125022,147,373
29,2005-12-23,32-HCM-3748,FIAT,500,2003-04-15,25843,715,1186
30,2014-12-07,17-BRM-9611,AUDI,A6,2013-01-04,31582,6736,1440
31,2002-11-03,58-LQC-5493,FIAT,500L,2001-05-10,128642,8596,1510
32,2010-06-11,26-UTW-1776,SAAB,S1,2009-03-18,195853,6286,893
33,2000-11-19,52-JKN-1024,VOLVO,V3,2000-05-14,84462,9367,782
34,2015-09-05,35-AAR-8684,AUDI,A6,2013-01-20,61687,3492,1983
35,2008-06-10,70-TYL-8936,TESLA,T2,2004-07-06,40776,5819,1091
36,2004-12-25,64-PDJ-7993,SAAB,S3,2003-09-27,143106,1815,1976
37,2005-06-27,08-YGO-169,VOLKSWAGEN,JETTA,2005-02-08,147543,3958,1557
38,2005-04-26,36-SFR-8846,FORD,FOCUS,2000-06-27,62781,4155,1002
39,2018-12-23,10-VGL-5076,FIAT,500L,2016-12-06,117631,1141,1046
40,2016-10-26,67-CJV-1700,AUDI,Q3,2013-06-05,35383,7375,1128
41,2014-08-08,22-LKI-970,VOLKSWAGEN,JETTA,2001-03-10,150861,6492,1987
42,2006-11-22,34-OSF-4029,TOFAS,KARTAL,2005-09-19,193095,4647,1987
43,2001-05-04,16-RAD-8365,BMW,X5,2000-03-24,169092,2292,558
44,2009-02-21,68-AEC-6301,FORD,FIESTA,2008-09-15,109523,6017,1605
45,2017-03-06,57-WQP-6591,PEUGEOT,206,2013-02-25,70636,8523,1659
46,2009-05-05,59-IPE-6281,MERCEDES,S600,2004-04-20,104937,7346,1236
47,2009-01-05,52-QZX-941,TOFAS,KARTAL,2004-11-08,87492,1546,448
48,2018-05-25,47-ZWU-5888,TESLA,T1,2003-06-20,47518,1834,1167
49,2020-01-17,24-WUJ-935,BMW,X3,2019-05-19,96458,9203,255
