id,tarih,plaka,marka,model,uretim_tarihi,km,parca_fiyat,iscilik_fiyat
0,2018-03-13,13-EGK-498,SAAB,S1,2011-10-08,58384,4961,1356
1,2019-12-18,42-DCP-8577,AUDI,Q3,2009-09-29,58148,9001,1507
2,2018-05-15,27-OKM-6729,MERCEDES,S350,2008-05-14,3241,3766,1235
3,2018-09-08,63-XCS-1514,AUDI,Q5,2018-05-29,198346,7632,273
4,2019-10-01,43-NVL-2445,BMW,X7,2001-12-31,80378,7172,1062
5,2018-01-26,81-WWW-1384,SAAB,S3,2012-04-08,127718,6384,407
6,2020-01-01,54-DMH-2119,SAAB,S2,2015-06-29,173203,8904,285
7,2018-05-09,30-UWM-7642,FIAT,500L,2008-07-06,130526,4088,407
8,2018-01-28,41-ZWN-9831,VOLVO,V1,2000-01-21,5110,9745,1769
9,2019-07-18,80-NXC-8041,MERCEDES,S350,2006-08-31,110765,7179,1813
10,2019-11-22,73-IWO-2268,SAAB,S4,2006-04-11,139611,2654,768
11,2018-07-21,56-YAJ-7546,SAAB,S3,2008-06-05,128867,2376,353
12,2018-05-13,28-NZF-6577,TESLA,T2,2004-02-22,139340,7362,1362
13,2018-02-20,03-TWY-6052,FIAT,500,2008-03-16,78021,7467,1917
14,2018-02-12,52-PFE-2676,VOLVO,V2,2004-09-07,89256,5548,304
15,2019-10-16,55-IJH-3037,FIAT,DOBLO,2014-04-06,199243,3666,1985
16,2018-04-27,31-NVE-2943,PEUGEOT,407,2014-01-20,185039,8175,937
17,2019-11-10,21-BQH-7033,AUDI,Q7,2005-12-07,171584,994,952
18,2019-09-19,65-KYG-7463,BMW,X3,2006-02-05,103708,8688,957
19,2019-02-17,59-DFN-6350,AUDI,Q3,2017-12-25,191465,4999,679
20,2019-04-03,24-GOS-2723,TOFAS,KARTAL,2011-05-20,23717,2180,617
21,2019-02-17,34-MES-2198,VOLVO,V1,2009-09-24,86479,5108,1915
22,2018-03-14,50-JTE-4069,PEUGEOT,306,2008-05-18,130361,3365,1151
23,2018-12-17,07-ZSB-9912,PEUGEOT,206,2017-11-21,199688,2188,690
24,2018-02-09,06-WTE-5378,TOFAS,KARTAL,2015-08-08,74042,4204,1329
25,2018-08-06,41-FGF-1927,FORD,FIESTA,2002-01-08,133251,7090,365
26,2019-06-22,22-PYB-5981,BMW,X5,2016-12-26,165799,9359,1758
27,2019-12-31,44-IEF-7834,VOLKSWAGEN,PASSAT,2012-08-13,191087,6956,1111
28,2018-06-26,54-WEK-3731,TESLA,T1,2002-04-20,69987,978,1090
29,2018-05-31,26-OKQ-9748,VOLKSWAGEN,JETTA,2009-05-27,123996,5489,938
30,2018-06-17,45-YPG-554,TESLA,T2,2005-03-31,178004,5236,774
31,2018-11-01,73-IVP-5278,MERCEDES,C180,2004-08-29,68643,9630,656
32,2019-09-19,14-KQW-5602,AUDI,Q7,2006-09-21,147000,265,1682
33,2019-05-02,46-VYZ-7842,TESLA,T2,2007-09-04,112304,7001,459
34,2018-04-18,71-MHA-8997,TESLA,T1,2001-12-30,90402,4946,1536
35,2019-04-13,23-KRN-682,MERCEDES,C180,2012-12-10,19260,5724,1107
36,2018-03-28,48-NFV-2663,BMW,X3,2000-06-14,127483,2177,782
37,2018-05-08,01-ZBT-5283,PEUGEOT,407,2002-04-19,23307,2309,1594
38,2018-11-28,71-FCE-3787,TOFAS,DOGAN,2002-09-19,60999,6395,658
39,2019-09-25,40-KGM-6167,VOLVO,V1,2014-03-23,49593,5672,414
40,2019-11-26,42-NKX-9490,TOFAS,KARTAL,2011-04-03,78952,7372,1285
41,2018-03-24,26-DLT-856,FORD,KA,2017-04-26,192740,3288,674
42,2019-08-31,81-BBY-1851,AUDI,Q7,2008-09-25,112252,8221,1045
43,2019-10-04,30-AEA-9378,PEUGEOT,206,2008-01-25,154570,3000,344
44,2019-11-02,58-ZGI-9418,AUDI,Q7,2012-07-21,185185,7674,588
45,2019-11-15,26-YXS-84,VOLKSWAGEN,PASSAT,2005-04-18,144051,1177,922
46,2019-04-08,51-BFB-1072,FORD,FIESTA,2017-07-04,184831,2237,1511
47,2019-12-08,14-CAR-5242,BMW,X7,2001-07-06,3698,3218,1838
48,2019-07-29,42-JLR-39,FIAT,500,2019-03-04,33712,2916,1602
49,2019-01-24,50-WFK-2869,AUDI,Q3,2017-04-28,143626,5786,1551
50,2019-08-05,73-UEE-6432,PEUGEOT,206,2005-07-17,13362,1191,1603
51,2019-08-31,32-XGK-1406,FORD,FIESTA,2013-05-05,62275,9178,411
52,2018-11-27,62-TOZ-2353,TOFAS,KARTAL,2007-07-04,170958,6641,1051
53,2019-01-08,46-VVC-502,MERCEDES,S600,2005-06-26,112175,1224,1278
54,2019-10-24,67-NSG-6545,PEUGEOT,306,2012-03-20,104706,9973,535
55,2018-10-17,13-QWY-7621,PEUGEOT,306,2011-02-03,82751,2883,1229
56,2019-11-12,67-NVX-933,MERCEDES,S600,2014-06-03,187720,3796,350
57,2018-09-06,54-EZI-3540,AUDI,Q3,2006-05-08,22326,7952,704
58,2019-10-10,26-FBX-2358,VOLKSWAGEN,POLO,2003-10-29,180099,4315,1286
59,2019-10-06,62-DGE-7073,TOFAS,DOGAN,2003-09-15,105751,1581,1014
60,2018-12-31,16-QSR-1116,TESLA,T4,2007-12-14,114149,8667,1762
61,2019-04-23,31-FUD-2750,VOLVO,V1,2010-01-19,35716,1474,1924
62,2018-07-28,62-NKF-4117,VOLVO,V2,2011-06-07,131019,8497,857
63,2019-05-29,44-VSV-6591,VOLVO,V3,2006-03-21,84800,3028,254
64,2018-03-02,11-TEY-1204,MERCEDES,S350,2014-04-06,7062,930,954
65,2018-12-31,30-OYQ-7765,VOLKSWAGEN,POLO,2011-01-16,31076,8718,433
66,2019-06-13,42-ZJJ-9848,FIAT,EGEA,2018-09-15,40058,2771,1277
67,2018-05-13,75-UTD-7932,MERCEDES,S350,2015-01-09,67570,1181,1793
68,2019-05-07,73-KYH-7319,VOLVO,V2,2015-05-13,85616,9082,1702
69,2019-11-02,66-ASO-7773,SAAB,S2,2017-06-23,85749,6717,1184
70,2019-05-05,57-BHG-4958,FIAT,500,2006-08-28,21016,7992,541
71,2019-05-11,42-CIS-9232,AUDI,Q5,2018-05-12,105823,9387,1566
72,2019-03-05,09-SBK-5394,MERCEDES,C180,2009-11-20,14769,9554,1882
73,2019-02-20,53-YZX-8542,VOLVO,V1,2001-03-29,58108,1349,1283
74,2019-12-20,15-CIF-6721,AUDI,Q7,2001-03-09,163189,3787,1240
75,2018-11-11,73-UNR-3700,SAAB,S1,2003-07-14,61743,360,1187
76,2018-01-18,55-PXF-3111,AUDI,Q7,2003-01-01,129166,258,1801
77,2019-10-08,39-IWO-3037,FIAT,EGEA,2006-09-13,5271,8278,583
78,2019-11-10,52-KWQ-6434,SAAB,S2,2003-11-27,146906,4743,1183
79,2019-12-26,44-BZG-7697,VOLKSWAGEN,JETTA,2007-09-01,15159,2739,1769
80,2019-04-23,30-UGN-5599,TESLA,T3,2003-10-17,197839,9495,1219
81,2018-02-04,07-PZL-3568,BMW,X5,2009-02-21,37215,1027,1749
82,2018-02-26,54-DXC-9460,MERCEDES,C180,2000-08-06,61736,8396,832
83,2019-10-20,68-ZHX-1771,MERCEDES,C180,2000-08-07,176121,2958,336
84,2018-11-26,39-JVO-2556,SAAB,S2,2005-12-27,110869,1791,1336
85,2018-10-28,46-WLX-116,TESLA,T4,2011-03-13,53977,4477,968
86,2019-10-19,74-KTG-7910,SAAB,S4,2003-11-12,45490,6600,309
87,2019-03-16,14-OBN-9271,TESLA,T1,2014-06-18,55691,7149,549
88,2018-01-30,19-IHD-4054,BMW,X7,2013-01-08,117336,4876,759
89,2018-06-11,66-LVN-2763,TOFAS,SAHIN,2009-12-15,44952,8492,557
90,2019-11-03,42-EST-5540,PEUGEOT,306,2007-03-24,186110,7525,1541
91,2018-07-14,39-KDG-9080,PEUGEOT,407,2010-10-24,133146,2651,1889
92,2018-12-13,19-NLD-8902,AUDI,Q5,2011-01-04,179281,7552,1726
93,2019-09-08,34-OYT-3308,VOLVO,V1,2008-03-10,96218,2013,1746
94,2019-11-10,70-HNP-5649,SAAB,S4,2018-01-23,17096,9499,449
95,2018-01-27,28-XXS-9206,TOFAS,SAHIN,2015-11-21,108557,2758,871
