id,tarih,plaka,marka,model,uretim_tarihi,km,parca_fiyat,iscilik_fiyat
0,2014-06-02,51-QJV-9130,TESLA,T1,2012,105245,1263,833
1,2016-02-26,46-FNA-2359,VOLVO,V2,2016,142138,3935,1922
2,2011-12-22,54-AEF-1097,BMW,X7,2005,25746,704,1296
3,2001-01-01,47-NRF-6749,AUDI,Q7,2011,122931,5848,509
4,2006-07-06,79-OIL-4782,SAAB,S4,2015,140910,4125,1271
5,2015-07-05,70-VHE-5937,VOLKSWAGEN,PASSAT,2005,97790,2446,440
6,2002-08-03,52-HVL-2882,TESLA,T3,2016,1708,9609,1880
7,2013-02-15,45-TUJ-3402,AUDI,Q5,2002,70656,8852,918
8,2010-07-10,62-CAT-1505,TESLA,T4,2004,1290,4682,1142
9,2007-02-12,34-RZZ-3096,FORD,FIESTA,2008,185951,345,374
10,2006-04-26,81-TYJ-3647,SAAB,S3,2005,51790,1486,1840
11,2020-05-04,32-VOC-5554,PEUGEOT,306,2013,145765,1478,571
12,2000-03-01,70-OHG-1676,PEUGEOT,206,2009,164849,1233,355
13,2000-11-30,23-TTO-78,VOLVO,V3,2012,75870,7601,1076
14,2016-07-31,38-GPK-3474,PEUGEOT,306,2008,155682,4865,511
15,2010-08-10,35-BWQ-3219,AUDI,A6,2002,144507,1092,1613
16,2012-11-19,63-HJN-1322,PEUGEOT,306,2007,107446,5597,1122
17,2015-08-04,02-COF-8282,BMW,X5,2013,100539,2086,1763
18,2019-08-11,19-YNX-5267,MERCEDES,S600,2011,182871,5105,393
19,2005-12-24,34-PZD-9060,TOFAS,SAHIN,2007,54328,956,1753
20,2001-09-06,37-XKQ-3270,AUDI,A6,2010,195750,4161,1712
21,2014-11-25,28-QNH-1139,TOFAS,SAHIN,2004,85045,3097,1516
22,2011-04-03,73-YBM-9556,SAAB,S4,2014,151086,644,490
23,2002-11-14,50-ZLS-7107,FORD,KA,2012,77711,7844,1612
24,2014-02-11,68-AER-4457,BMW,X3,2011,88500,8995,1470
25,2002-09-16,42-HLE-7162,MERCEDES,E200,2015,57834,4647,679
26,2009-09-15,28-JIY-8364,TESLA,T2,2004,199557,9656,616
27,2004-07-05,21-KLI-529,PEUGEOT,407,2016,6937,673,608
28,2017-04-19,06-WHS-6358,BMW,X5,2008,186178,1329,607
29,2000-05-15,66-WCJ-2995,FORD,FOCUS,2009,59948,5698,1174
30,2007-02-18,55-HSU-1099,PEUGEOT,306,2018,24767,551,945
31,2013-10-17,10-PUO-7340,VOLKSWAGEN,PASSAT,2018,7898,7887,1542
32,2005-11-21,03-TBP-42,TESLA,T2,2016,89814,6949,1606
33,2009-07-02,62-ERO-4441,MERCEDES,C180,2012,149794,8341,441
34,2018-03-01,80-DKM-2651,TESLA,T3,2003,161361,8527,929
35,2001-12-31,50-ELC-104,BMW,X3,2005,70023,9960,1320
36,2003-07-14,25-KQI-5400,MERCEDES,C180,2016,143082,3240,384
37,2015-07-19,16-WCW-6316,MERCEDES,E200,2006,74090,4007,923
38,2012-02-20,46-KPY-9605,VOLKSWAGEN,POLO,2015,41803,5455,870
39,2008-12-11,53-GBG-5737,PEUGEOT,206,2008,50541,4427,465
40,2001-06-28,20-WND-8800,VOLKSWAGEN,POLO,2004,68455,2953,1934
41,2006-04-14,52-DWY-466,TESLA,T3,2007,164394,8876,1160
42,2012-09-19,65-VWS-8977,BMW,X7,2006,87344,8230,1075
43,2014-07-17,53-SOG-3647,VOLKSWAGEN,POLO,2009,7351,3631,314
44,2005-03-18,68-UBC-2064,VOLKSWAGEN,PASSAT,2005,193705,366,1068
45,2018-09-09,26-WUJ-1574,FIAT,500L,2015,124315,7760,569
46,2006-07-23,57-IXK-5575,SAAB,S3,2012,153810,4457,1640
47,2009-01-13,01-NIM-7653,SAAB,S1,2009,113191,123,1121
48,2017-12-02,69-KWB-1051,FORD,FIESTA,2008,21239,2798,843
49,2000-06-16,58-ZVC-55,TOFAS,KARTAL,2008,126986,8525,578
