id,tarih,plaka,marka,model,uretim_tarihi,km,parca_fiyat,iscilik_fiyat
0,2019-07-23,70-VCO-3761,FIAT,500,2019-06-10,57083,1861,1922
1,2019-09-10,76-SAF-8859,TESLA,T1,2019-09-03,22508,8590,1057
2,2019-11-27,67-WKZ-9098,TOFAS,DOGAN,2019-06-02,13528,4126,860
3,2019-05-14,53-FSH-6882,TESLA,T4,2019-01-26,74242,1403,1179
4,2019-06-03,73-IVR-3584,FORD,KA,2019-02-10,70268,6849,1649
5,2019-02-12,23-TRS-1438,MERCEDES,S600,2019-01-19,17066,4173,1984
6,2019-05-24,45-HTK-9542,VOLKSWAGEN,POLO,2019-01-15,71408,3734,1797
7,2019-10-19,09-QIS-3354,VOLVO,V2,2019-08-14,136803,9873,1889
8,2019-05-21,37-GXR-6222,AUDI,A6,2019-03-27,110586,3075,1114
9,2019-06-10,42-CQN-1845,BMW,X7,2019-06-03,79862,9951,1666
10,2019-04-11,81-OMH-4758,FIAT,EGEA,2019-04-05,124266,9746,266
11,2019-10-05,26-PDA-1416,MERCEDES,E200,2019-03-04,104834,8072,894
12,2019-02-03,53-NZB-6518,BMW,X7,2019-01-27,139408,3418,594
13,2019-12-13,15-EOU-1155,AUDI,A6,2019-08-27,38020,134,383
14,2019-09-10,31-DWB-6502,BMW,X7,2019-03-31,190038,1694,1964
15,2019-08-11,09-ENV-4500,FORD,FOCUS,2019-08-03,109298,4336,1919
16,2019-02-26,23-YOC-4378,TESLA,T3,2019-02-14,12555,7766,682
17,2019-07-28,54-CCH-9763,SAAB,S4,2019-05-27,45255,724,1482
18,2019-05-20,74-AZO-7931,MERCEDES,S600,2019-01-25,24325,7659,1727
19,2019-03-23,58-NWX-3259,VOLVO,V1,2019-02-21,183093,6160,349
20,2019-02-24,33-EBL-1004,TOFAS,SAHIN,2019-01-13,17340,6098,1008
21,2019-03-19,08-HZQ-1673,FORD,FOCUS,2019-03-06,195357,2949,619
22,2019-03-15,34-UWS-6956,SAAB,S3,2019-01-14,111424,2148,701
23,2019-09-11,72-DHD-2997,TESLA,T4,2019-06-23,60301,1718,1830
24,2019-03-02,48-TMA-8238,AUDI,Q7,2019-01-11,177895,8509,1078
25,2019-12-15,05-QNQ-281,AUDI,Q3,2019-08-04,108672,8346,760
26,2019-06-02,76-GPE-9523,SAAB,S4,2019-01-11,171774,2608,713
27,2019-10-20,26-HQP-1545,PEUGEOT,407,2019-10-15,129654,3953,1209
28,2019-01-18,07-SGP-5920,BMW,X3,2019-01-06,184431,3757,993
29,2019-11-30,28-IEN-2073,FIAT,500L,2019-10-26,161930,8406,1472
30,2019-10-02,58-WHV-7412,TESLA,T1,2019-04-30,160430,2088,1737
31,2019-03-29,41-JNV-9100,BMW,X5,2019-01-05,120371,6823,1356
32,2019-06-17,72-STP-1529,FORD,KA,2019-02-08,175462,3675,317
33,2019-11-07,26-CXT-3789,BMW,X7,2019-03-01,137683,1793,580
34,2019-09-13,59-UCD-7215,VOLVO,V3,2019-05-05,49128,4305,1318
35,2019-05-24,06-DNF-6678,TESLA,T1,2019-03-10,51603,4889,370
36,2019-05-18,07-XIO-9892,AUDI,Q5,2019-03-26,49192,9997,1486
37,2019-04-05,27-AWA-4826,VOLVO,V3,2019-03-29,122872,4685,781
38,2019-08-07,61-SPS-8382,FORD,KA,2019-02-24,17357,3057,1537
39,2019-05-09,38-BMH-344,TESLA,T4,2019-04-06,101908,445,1108
40,2019-01-22,74-ZJF-7255,VOLKSWAGEN,JETTA,2019-01-03,163153,1009,1144
41,2019-11-19,04-FWZ-1853,TESLA,T3,2019-04-20,105835,4127,1279
42,2019-07-05,37-BVU-5380,TOFAS,DOGAN,2019-06-11,159167,9185,1071
43,2019-09-21,14-NBH-8776,PEUGEOT,206,2019-08-28,145083,8623,664
