id,tarih,plaka,marka,model,uretim_tarihi,km,parca_fiyat,iscilik_fiyat
0,2015-11-05,32-IZP-9616,BMW,X7,2015-08-17,37476,4279,963
1,2010-03-27,78-ZLE-208,VOLKSWAGEN,JETTA,2005-01-10,11007,4757,954
2,2002-05-19,12-DRZ-9661,TESLA,T1,2002-04-25,179576,2154,1330
3,2018-02-19,08-DOA-8612,FORD,FOCUS,2017-12-18,184041,2409,1826
4,2005-02-10,32-XLE-8729,FIAT,500,2003-02-27,75943,3523,734
5,2004-04-22,28-LHL-9885,SAAB,S4,2003-02-27,168579,9250,1119
6,2008-05-14,07-IMQ-3535,TESLA,T1,2004-05-16,177546,8459,1887
7,2006-06-18,14-BDS-3290,TESLA,T1,2001-05-09,132807,9567,1204
8,2013-04-05,34-FMJ-7328,FORD,FIESTA,2008-09-23,108676,2743,785
9,2018-11-08,41-DWY-2202,VOLVO,V3,2009-01-27,18475,929,1065
10,2015-07-12,68-PGF-6860,FORD,KA,2009-04-11,23930,2713,596
11,2018-04-05,46-YEG-3658,VOLKSWAGEN,JETTA,2003-03-27,185315,598,1351
12,2018-03-30,51-ECR-5487,VOLVO,V2,2004-01-20,102082,1733,1002
13,2001-02-13,72-MSX-3370,TESLA,T1,2001-01-22,93272,7494,604
14,2014-06-15,62-AOX-1218,FIAT,EGEA,2001-05-01,26081,9718,740
15,2017-08-16,79-SAN-7800,PEUGEOT,206,2003-05-25,61754,1173,1091
16,2002-06-07,61-RRE-1451,MERCEDES,C180,2001-05-08,65598,4305,594
17,2009-11-13,26-LRA-3322,AUDI,Q5,2005-07-21,135864,5524,638
18,2010-03-22,64-KGU-9815,PEUGEOT,306,2007-07-06,81916,1371,1348
19,2016-12-01,59-VAJ-6051,TESLA,T2,2009-07-16,31851,7863,1311
20,2005-12-19,80-LOJ-2526,VOLVO,V1,2001-07-30,66995,5254,285
21,2004-10-10,25-XXV-1301,TOFAS,DOGAN,2004-05-11,120735,6360,1448
22,2013-11-24,42-QER-2139,TESLA,T3,2013-01-12,198469,9935,978
23,2010-02-28,29-FNB-8985,AUDI,Q7,2001-09-13,195302,248,1632
24,2017-02-01,06-ASX-7441,FORD,FIESTA,2010-09-07,100181,3456,708
25,2003-02-08,26-OXF-3903,AUDI,A6,2002-03-20,90887,314,1250
26,2005-08-21,18-KFT-8970,AUDI,A6,2004-07-03,176796,9289,947
27,2014-05-28,08-CXL-4655,BMW,X7,2001-04-01,187656,4785,358
28,2001-07-24,51-ZKC-8917,MERCEDES,C180,2000-08-21,101943,2213,562
29,2009-08-27,02-BOB-9983,PEUGEOT,306,2006-05-20,178649,8661,264
30,2006-10-19,61-TBP-5336,FIAT,EGEA,2001-09-02,54970,3890,1315
31,2017-08-09,56-TCZ-2953,PEUGEOT,206,2013-06-11,90140,3785,949
32,2017-04-23,61-VQK-2232,FIAT,EGEA,2004-04-06,34052,2319,1524
33,2015-03-04,37-BCF-2895,PEUGEOT,407,2006-06-16,5269,8436,1689
34,2015-08-21,14-AXW-8735,AUDI,Q5,2007-08-21,26086,5510,557
35,2014-05-15,05-MGW-3603,VOLKSWAGEN,PASSAT,2010-12-07,125410,4471,251
36,2018-11-12,19-JCZ-2201,SAAB,S1,2006-05-29,73716,4910,1917
37,2001-04-20,43-LYO-6678,VOLKSWAGEN,JETTA,2000-10-04,116574,1220,1360
38,2009-05-19,14-VKR-7383,VOLKSWAGEN,JETTA,2007-01-10,178869,4569,629
39,2014-02-08,39-SPS-2171,SAAB,S3,2001-03-25,61575,7913,668
40,2004-04-25,31-BAL-4770,TOFAS,SAHIN,2003-05-21,101146,1732,1843
41,2013-09-01,02-CKA-9710,VOLKSWAGEN,POLO,2012-10-01,199687,1945,1803
42,2020-01-26,21-USD-3294,MERCEDES,E200,2019-08-26,124130,1596,1169
43,2011-08-04,05-SCD-9699,BMW,X5,2001-07-03,81425,4198,1415
44,2001-07-31,02-EXV-6368,FIAT,EGEA,2000-02-18,188052,1085,1293
45,2006-03-10,70-GVW-4792,SAAB,S2,2001-01-15,61988,2100,1969
46,2010-11-12,36-QNT-5933,FIAT,EGEA,2010-01-01,184158,590,539
47,2013-09-26,18-VLC-333,TOFAS,DOGAN,2005-04-05,109803,2644,975
48,2005-05-04,37-ROG-5270,TOFAS,SAHIN,2001-04-05,56354,9759,760
49,2015-08-25,07-JAR-5216,TOFAS,KARTAL,2005-01-14,95987,5128,366
