id,tarih,plaka,marka,model,uretim_tarihi,km,parca_fiyat,iscilik_fiyat
0,2019-01-04,64-JPI-2773,BMW,X5,2010,121746,8081,1768
1,2019-03-29,35-YZI-8257,VOLVO,V3,2010,9483,8472,735
2,2018-12-28,35-OXQ-9742,FORD,FIESTA,2012,43892,8752,823
3,2018-09-19,46-XYK-1755,VOLKSWAGEN,POLO,2001,89592,1139,1319
4,2018-03-24,41-FNZ-1063,VOLVO,V1,2006,168059,3271,1171
5,2019-08-18,57-YWB-3075,SAAB,S3,2007,33038,163,768
6,2018-12-29,29-ATY-7986,VOLVO,V2,2005,112582,1259,626
7,2019-07-09,50-FVW-4174,BMW,X7,2007,33996,1240,1295
8,2019-09-21,58-DKU-7861,AUDI,Q3,2005,94671,4802,660
9,2018-04-28,47-VAV-3799,FIAT,EGEA,2011,118504,6924,1772
10,2018-04-08,24-WYD-2677,VOLVO,V4,2003,115689,4280,1376
11,2018-11-10,68-AZC-5023,BMW,X5,2006,128466,9534,741
12,2019-08-21,47-WET-8213,MERCEDES,E200,2016,4392,4885,1873
13,2019-09-18,50-GGC-7355,BMW,X5,2011,60661,528,1872
14,2018-07-31,70-OWX-2884,VOLKSWAGEN,POLO,2017,104971,8064,1008
15,2018-11-23,31-HDG-509,TESLA,T4,2001,42158,2179,1567
16,2019-12-11,64-KOW-4473,FIAT,DOBLO,2001,187485,5981,1003
17,2018-01-18,64-EAW-1152,PEUGEOT,206,2000,177567,2067,1100
18,2018-12-26,21-ZPP-6320,TOFAS,SAHIN,2006,134431,8680,951
19,2018-09-22,41-GGJ-1925,VOLVO,V3,2013,47702,6496,1087
20,2019-10-30,46-ZOV-6454,TOFAS,KARTAL,2006,50200,4690,413
21,2018-10-06,57-IAH-9067,TOFAS,KARTAL,2008,30443,9510,291
22,2019-03-03,64-WXE-1998,BMW,X3,2006,139389,8215,1751
23,2018-08-07,13-ETP-3265,VOLVO,V3,2011,157449,1835,751
24,2019-05-14,31-EHH-9093,FORD,FOCUS,2015,145878,51,598
